instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2281,06/04/2011,2,0,4,0,0,3,1,1,0.3,0.3182,0.49,0.1045,0,15,15
2282,06/04/2011,2,0,4,1,0,3,1,1,0.26,0.2727,0.6,0.1343,0,2,2
2283,06/04/2011,2,0,4,2,0,3,1,1,0.24,0.2424,0.7,0.1343,0,5,5
2284,06/04/2011,2,0,4,3,0,3,1,1,0.26,0.2727,0.6,0.1343,0,4,4
2285,06/04/2011,2,0,4,4,0,3,1,1,0.24,0.2424,0.65,0.1343,0,1,1
2286,06/04/2011,2,0,4,5,0,3,1,1,0.24,0.2576,0.7,0.1045,1,12,13
2287,06/04/2011,2,0,4,6,0,3,1,1,0.24,0.2576,0.7,0.1045,4,52,56
2288,06/04/2011,2,0,4,7,0,3,1,1,0.26,0.2727,0.65,0.1045,3,130,133
2289,06/04/2011,2,0,4,8,0,3,1,1,0.32,0.303,0.61,0.2239,17,308,325
2290,06/04/2011,2,0,4,9,0,3,1,1,0.36,0.3333,0.46,0.2537,8,157,165
2291,06/04/2011,2,0,4,10,0,3,1,1,0.4,0.4091,0.37,0.3881,21,48,69
2292,06/04/2011,2,0,4,11,0,3,1,1,0.42,0.4242,0.38,0.3881,23,70,93
2293,06/04/2011,2,0,4,12,0,3,1,1,0.44,0.4394,0.41,0.2537,22,112,134
2294,06/04/2011,2,0,4,13,0,3,1,1,0.46,0.4545,0.38,0.4925,29,83,112
2295,06/04/2011,2,0,4,14,0,3,1,1,0.5,0.4848,0.34,0.4179,35,80,115
2296,06/04/2011,2,0,4,15,0,3,1,1,0.52,0.5,0.32,0.3284,34,83,117
2297,06/04/2011,2,0,4,16,0,3,1,1,0.54,0.5152,0.28,0.4179,27,142,169
2298,06/04/2011,2,0,4,17,0,3,1,1,0.52,0.5,0.32,0.4478,53,303,356
2299,06/04/2011,2,0,4,18,0,3,1,1,0.52,0.5,0.29,0.3582,43,282,325
2300,06/04/2011,2,0,4,19,0,3,1,1,0.5,0.4848,0.31,0.2985,36,196,232
2301,06/04/2011,2,0,4,20,0,3,1,1,0.46,0.4545,0.51,0.2239,15,126,141
2302,06/04/2011,2,0,4,21,0,3,1,1,0.46,0.4545,0.41,0.2836,18,84,102
2303,06/04/2011,2,0,4,22,0,3,1,1,0.46,0.4545,0.41,0.2836,13,71,84
2304,06/04/2011,2,0,4,23,0,3,1,1,0.46,0.4545,0.41,0.2985,11,29,40
2305,07/04/2011,2,0,4,0,0,4,1,1,0.46,0.4545,0.41,0.2836,5,15,20
2306,07/04/2011,2,0,4,1,0,4,1,1,0.42,0.4242,0.47,0.1343,2,11,13
2307,07/04/2011,2,0,4,2,0,4,1,1,0.42,0.4242,0.54,0,0,7,7
2308,07/04/2011,2,0,4,3,0,4,1,1,0.36,0.3485,0.66,0.194,0,3,3
2309,07/04/2011,2,0,4,4,0,4,1,1,0.34,0.3333,0.76,0.194,0,1,1
2310,07/04/2011,2,0,4,5,0,4,1,1,0.34,0.3182,0.76,0.2239,0,6,6
2311,07/04/2011,2,0,4,6,0,4,1,1,0.32,0.303,0.81,0.2537,5,59,64
2312,07/04/2011,2,0,4,7,0,4,1,2,0.34,0.3333,0.76,0.1642,8,152,160
2313,07/04/2011,2,0,4,8,0,4,1,1,0.36,0.3485,0.76,0.194,23,291,314
2314,07/04/2011,2,0,4,9,0,4,1,2,0.4,0.4091,0.66,0.1343,15,155,170
2315,07/04/2011,2,0,4,10,0,4,1,2,0.42,0.4242,0.67,0.1045,29,66,95
2316,07/04/2011,2,0,4,11,0,4,1,2,0.46,0.4545,0.55,0,36,86,122
2317,07/04/2011,2,0,4,12,0,4,1,2,0.46,0.4545,0.55,0,39,114,153
2318,07/04/2011,2,0,4,13,0,4,1,2,0.52,0.5,0.48,0.0896,36,99,135
2319,07/04/2011,2,0,4,14,0,4,1,1,0.56,0.5303,0.43,0.0896,46,111,157
2320,07/04/2011,2,0,4,15,0,4,1,1,0.6,0.6212,0.38,0.1045,27,133,160
2321,07/04/2011,2,0,4,16,0,4,1,1,0.6,0.6212,0.35,0,52,161,213
2322,07/04/2011,2,0,4,17,0,4,1,1,0.52,0.5,0.52,0.2836,63,280,343
2323,07/04/2011,2,0,4,18,0,4,1,1,0.48,0.4697,0.55,0.2537,68,265,333
2324,07/04/2011,2,0,4,19,0,4,1,1,0.46,0.4545,0.59,0.2985,34,192,226
2325,07/04/2011,2,0,4,20,0,4,1,1,0.44,0.4394,0.62,0.1642,37,166,203
2326,07/04/2011,2,0,4,21,0,4,1,2,0.44,0.4394,0.67,0.2836,19,89,108
2327,07/04/2011,2,0,4,22,0,4,1,2,0.4,0.4091,0.76,0.194,18,63,81
2328,07/04/2011,2,0,4,23,0,4,1,1,0.38,0.3939,0.76,0.2537,9,45,54
2329,08/04/2011,2,0,4,0,0,5,1,2,0.36,0.3485,0.76,0.2239,4,21,25
2330,08/04/2011,2,0,4,1,0,5,1,2,0.34,0.3333,0.76,0.1343,3,6,9
2331,08/04/2011,2,0,4,2,0,5,1,3,0.34,0.3333,0.76,0.1642,3,10,13
2332,08/04/2011,2,0,4,3,0,5,1,3,0.34,0.3333,0.76,0.1642,0,1,1
2333,08/04/2011,2,0,4,4,0,5,1,2,0.34,0.3333,0.86,0.1343,0,1,1
2334,08/04/2011,2,0,4,5,0,5,1,2,0.32,0.3182,0.87,0.194,1,8,9
2335,08/04/2011,2,0,4,6,0,5,1,2,0.34,0.3636,0.87,0,2,33,35
2336,08/04/2011,2,0,4,7,0,5,1,3,0.34,0.3333,0.87,0.1642,4,109,113
2337,08/04/2011,2,0,4,8,0,5,1,3,0.34,0.3333,0.87,0.1642,13,208,221
2338,08/04/2011,2,0,4,9,0,5,1,2,0.36,0.3485,0.76,0.194,17,168,185
2339,08/04/2011,2,0,4,10,0,5,1,2,0.36,0.3333,0.71,0.2836,10,63,73
2340,08/04/2011,2,0,4,11,0,5,1,2,0.4,0.4091,0.62,0.3881,19,79,98
2341,08/04/2011,2,0,4,12,0,5,1,3,0.38,0.3939,0.66,0.2239,29,51,80
2342,08/04/2011,2,0,4,13,0,5,1,3,0.36,0.3333,0.76,0.2836,7,35,42
2343,08/04/2011,2,0,4,14,0,5,1,3,0.34,0.3182,0.87,0.2239,2,13,15
2344,08/04/2011,2,0,4,15,0,5,1,3,0.34,0.3182,0.87,0.2239,1,24,25
2345,08/04/2011,2,0,4,16,0,5,1,2,0.32,0.303,0.93,0.2537,2,58,60
2346,08/04/2011,2,0,4,17,0,5,1,3,0.32,0.303,0.93,0.2537,10,138,148
2347,08/04/2011,2,0,4,18,0,5,1,3,0.32,0.303,0.93,0.2537,8,54,62
2348,08/04/2011,2,0,4,19,0,5,1,3,0.3,0.2727,0.93,0.4179,1,52,53
2349,08/04/2011,2,0,4,20,0,5,1,2,0.3,0.2727,0.93,0.3284,12,51,63
2350,08/04/2011,2,0,4,21,0,5,1,2,0.3,0.2879,0.93,0.2537,11,43,54
2351,08/04/2011,2,0,4,22,0,5,1,2,0.3,0.2727,0.93,0.2985,9,42,51
2352,08/04/2011,2,0,4,23,0,5,1,2,0.3,0.2879,0.93,0.2239,4,31,35
2353,09/04/2011,2,0,4,0,0,6,0,2,0.3,0.2879,0.87,0.2239,5,26,31
2354,09/04/2011,2,0,4,1,0,6,0,2,0.3,0.303,0.87,0.1343,3,17,20
2355,09/04/2011,2,0,4,2,0,6,0,2,0.32,0.303,0.87,0.2239,2,15,17
2356,09/04/2011,2,0,4,3,0,6,0,3,0.3,0.2879,1,0.2537,3,11,14
2357,09/04/2011,2,0,4,4,0,6,0,3,0.3,0.2727,1,0.2537,0,3,3
2358,09/04/2011,2,0,4,5,0,6,0,2,0.3,0.2879,0.93,0.2239,0,5,5
2359,09/04/2011,2,0,4,6,0,6,0,2,0.3,0.2879,0.93,0.194,0,13,13
2360,09/04/2011,2,0,4,7,0,6,0,2,0.3,0.303,0.93,0.1642,8,13,21
2361,09/04/2011,2,0,4,8,0,6,0,2,0.32,0.303,0.93,0.1642,7,47,54
2362,09/04/2011,2,0,4,9,0,6,0,2,0.34,0.3485,0.87,0.1045,27,71,98
2363,09/04/2011,2,0,4,10,0,6,0,2,0.34,0.3333,0.87,0.1343,43,90,133
2364,09/04/2011,2,0,4,11,0,6,0,2,0.36,0.3636,0.81,0,51,91,142
2365,09/04/2011,2,0,4,12,0,6,0,2,0.36,0.3485,0.81,0.1343,79,123,202
2366,09/04/2011,2,0,4,13,0,6,0,2,0.36,0.3788,0.81,0,114,108,222
2367,09/04/2011,2,0,4,14,0,6,0,2,0.36,0.3485,0.81,0.1343,94,118,212
2368,09/04/2011,2,0,4,15,0,6,0,2,0.36,0.3788,0.87,0,85,116,201
2369,09/04/2011,2,0,4,16,0,6,0,2,0.38,0.3939,0.82,0,73,118,191
2370,09/04/2011,2,0,4,17,0,6,0,2,0.38,0.3939,0.82,0.0896,128,129,257
2371,09/04/2011,2,0,4,18,0,6,0,2,0.38,0.3939,0.82,0.1045,48,129,177
2372,09/04/2011,2,0,4,19,0,6,0,2,0.38,0.3939,0.82,0.1343,47,83,130
2373,09/04/2011,2,0,4,20,0,6,0,2,0.38,0.3939,0.87,0.1642,19,74,93
2374,09/04/2011,2,0,4,21,0,6,0,2,0.36,0.3485,0.93,0.1343,10,65,75
2375,09/04/2011,2,0,4,22,0,6,0,2,0.36,0.3485,0.93,0.1343,21,66,87
2376,09/04/2011,2,0,4,23,0,6,0,2,0.38,0.3939,0.87,0.0896,12,45,57
2377,10/04/2011,2,0,4,0,0,0,0,2,0.38,0.3939,0.87,0.0896,5,48,53
2378,10/04/2011,2,0,4,1,0,0,0,2,0.38,0.3939,0.87,0.1343,6,31,37
2379,10/04/2011,2,0,4,2,0,0,0,2,0.38,0.3939,0.87,0.0896,12,24,36
2380,10/04/2011,2,0,4,3,0,0,0,2,0.38,0.3939,0.87,0.1343,5,11,16
2381,10/04/2011,2,0,4,4,0,0,0,2,0.36,0.3636,0.93,0.1045,3,2,5
2382,10/04/2011,2,0,4,5,0,0,0,2,0.36,0.3636,0.93,0.0896,0,4,4
2383,10/04/2011,2,0,4,6,0,0,0,2,0.36,0.3636,0.93,0.0896,0,4,4
2384,10/04/2011,2,0,4,7,0,0,0,2,0.36,0.3636,1,0.0896,3,7,10
2385,10/04/2011,2,0,4,8,0,0,0,2,0.38,0.3939,0.94,0.0896,17,38,55
2386,10/04/2011,2,0,4,9,0,0,0,2,0.38,0.3939,0.94,0.1343,31,50,81
2387,10/04/2011,2,0,4,10,0,0,0,2,0.4,0.4091,0.87,0,69,81,150
2388,10/04/2011,2,0,4,11,0,0,0,2,0.4,0.4091,0.87,0.1343,93,109,202
2389,10/04/2011,2,0,4,12,0,0,0,2,0.42,0.4242,0.88,0.1343,94,136,230
2390,10/04/2011,2,0,4,13,0,0,0,1,0.46,0.4545,0.82,0.1045,121,142,263
2391,10/04/2011,2,0,4,14,0,0,0,1,0.5,0.4848,0.72,0.194,148,133,281
2392,10/04/2011,2,0,4,15,0,0,0,1,0.5,0.4848,0.77,0.2239,156,141,297
2393,10/04/2011,2,0,4,16,0,0,0,2,0.52,0.5,0.72,0.1642,135,153,288
2394,10/04/2011,2,0,4,17,0,0,0,2,0.52,0.5,0.72,0.194,84,152,236
2395,10/04/2011,2,0,4,18,0,0,0,1,0.5,0.4848,0.77,0.194,103,137,240
2396,10/04/2011,2,0,4,19,0,0,0,1,0.5,0.4848,0.77,0.194,47,84,131
2397,10/04/2011,2,0,4,20,0,0,0,1,0.46,0.4545,0.82,0.1343,21,71,92
2398,10/04/2011,2,0,4,21,0,0,0,1,0.44,0.4394,0.88,0.194,18,77,95
2399,10/04/2011,2,0,4,22,0,0,0,1,0.44,0.4394,0.94,0.2537,12,45,57
2400,10/04/2011,2,0,4,23,0,0,0,1,0.46,0.4545,0.88,0.3582,5,27,32
2401,11/04/2011,2,0,4,0,0,1,1,1,0.48,0.4697,0.88,0.3284,7,16,23
2402,11/04/2011,2,0,4,1,0,1,1,1,0.46,0.4545,0.94,0.2836,1,3,4
2403,11/04/2011,2,0,4,2,0,1,1,1,0.46,0.4545,0.94,0.2836,7,2,9
2404,11/04/2011,2,0,4,3,0,1,1,0,0,0,0,0,0,0,0
2405,11/04/2011,2,0,4,4,0,1,1,1,0.46,0.4545,0.94,0.194,0,1,1
2406,11/04/2011,2,0,4,5,0,1,1,1,0.46,0.4545,0.94,0.194,1,12,13
2407,11/04/2011,2,0,4,6,0,1,1,2,0.46,0.4545,1,0.2239,2,59,61
2408,11/04/2011,2,0,4,7,0,1,1,2,0.5,0.4848,0.88,0.2239,12,164,176
2409,11/04/2011,2,0,4,8,0,1,1,2,0.52,0.5,0.88,0.2836,28,286,314
2410,11/04/2011,2,0,4,9,0,1,1,2,0.56,0.5303,0.83,0.2836,33,132,165
2411,11/04/2011,2,0,4,10,0,1,1,2,0.56,0.5303,0.83,0.2985,41,55,96
2412,11/04/2011,2,0,4,11,0,1,1,2,0.6,0.5909,0.73,0.2985,45,59,104
2413,11/04/2011,2,0,4,12,0,1,1,2,0.6,0.5909,0.73,0.3284,37,97,134
2414,11/04/2011,2,0,4,13,0,1,1,2,0.64,0.6061,0.69,0.4179,62,77,139
2415,11/04/2011,2,0,4,14,0,1,1,2,0.72,0.6667,0.54,0.3582,60,85,145
2416,11/04/2011,2,0,4,15,0,1,1,1,0.74,0.6667,0.48,0.5224,56,85,141
2417,11/04/2011,2,0,4,16,0,1,1,1,0.74,0.6667,0.48,0.5224,73,162,235
2418,11/04/2011,2,0,4,17,0,1,1,1,0.74,0.6667,0.48,0.5224,100,352,452
2419,11/04/2011,2,0,4,18,0,1,1,1,0.72,0.6667,0.51,0.3881,93,290,383
2420,11/04/2011,2,0,4,19,0,1,1,1,0.72,0.6667,0.51,0.4478,73,211,284
2421,11/04/2011,2,0,4,20,0,1,1,1,0.68,0.6364,0.57,0.5224,44,122,166
2422,11/04/2011,2,0,4,21,0,1,1,1,0.66,0.6212,0.61,0.2537,39,119,158
2423,11/04/2011,2,0,4,22,0,1,1,2,0.64,0.6212,0.5,0.2836,25,66,91
2424,11/04/2011,2,0,4,23,0,1,1,3,0.58,0.5455,0.6,0,16,38,54
2425,12/04/2011,2,0,4,0,0,2,1,2,0.62,0.6212,0.5,0.1045,11,13,24
2426,12/04/2011,2,0,4,1,0,2,1,2,0.62,0.6212,0.5,0.0896,6,7,13
2427,12/04/2011,2,0,4,2,0,2,1,2,0.6,0.6212,0.53,0.1343,7,7,14
2428,12/04/2011,2,0,4,3,0,2,1,2,0.58,0.5455,0.56,0.1343,0,1,1
2429,12/04/2011,2,0,4,4,0,2,1,2,0.56,0.5303,0.64,0.1343,4,2,6
2430,12/04/2011,2,0,4,5,0,2,1,2,0.54,0.5152,0.68,0.1343,1,15,16
2431,12/04/2011,2,0,4,6,0,2,1,2,0.54,0.5152,0.68,0.2836,3,55,58
2432,12/04/2011,2,0,4,7,0,2,1,2,0.54,0.5152,0.68,0.2239,12,177,189
2433,12/04/2011,2,0,4,8,0,2,1,3,0.48,0.4697,0.88,0.3881,15,211,226
2434,12/04/2011,2,0,4,9,0,2,1,3,0.46,0.4545,0.94,0.4925,4,50,54
2435,12/04/2011,2,0,4,10,0,2,1,3,0.5,0.4848,0.82,0.4179,6,34,40
2436,12/04/2011,2,0,4,11,0,2,1,1,0.52,0.5,0.77,0.3582,11,38,49
2437,12/04/2011,2,0,4,12,0,2,1,2,0.56,0.5303,0.64,0.4627,9,83,92
2438,12/04/2011,2,0,4,13,0,2,1,3,0.54,0.5152,0.68,0.2836,22,84,106
2439,12/04/2011,2,0,4,14,0,2,1,2,0.5,0.4848,0.82,0.2836,16,28,44
2440,12/04/2011,2,0,4,15,0,2,1,2,0.48,0.4697,0.77,0.5224,24,54,78
2441,12/04/2011,2,0,4,16,0,2,1,2,0.48,0.4697,0.77,0.3881,19,80,99
2442,12/04/2011,2,0,4,17,0,2,1,3,0.44,0.4394,0.77,0.2239,29,262,291
2443,12/04/2011,2,0,4,18,0,2,1,3,0.44,0.4394,0.77,0.2239,21,203,224
2444,12/04/2011,2,0,4,19,0,2,1,2,0.42,0.4242,0.82,0.2836,3,127,130
2445,12/04/2011,2,0,4,20,0,2,1,2,0.42,0.4242,0.82,0.2836,9,94,103
2446,12/04/2011,2,0,4,21,0,2,1,2,0.42,0.4242,0.82,0.194,10,74,84
2447,12/04/2011,2,0,4,22,0,2,1,2,0.4,0.4091,0.94,0.2985,7,47,54
2448,12/04/2011,2,0,4,23,0,2,1,2,0.4,0.4091,0.94,0.2537,8,31,39
2449,13/04/2011,2,0,4,0,0,3,1,2,0.4,0.4091,1,0.2985,3,12,15
2450,13/04/2011,2,0,4,1,0,3,1,2,0.4,0.4091,1,0.2985,0,1,1
2451,13/04/2011,2,0,4,2,0,3,1,3,0.4,0.4091,1,0.2985,0,2,2
2452,13/04/2011,2,0,4,3,0,3,1,3,0.4,0.4091,0.94,0.3284,0,2,2
2453,13/04/2011,2,0,4,4,0,3,1,3,0.4,0.4091,0.94,0.3284,1,2,3
2454,13/04/2011,2,0,4,5,0,3,1,3,0.38,0.3939,0.94,0.2537,1,4,5
2455,13/04/2011,2,0,4,6,0,3,1,3,0.38,0.3939,0.94,0.2239,1,33,34
2456,13/04/2011,2,0,4,7,0,3,1,3,0.36,0.3485,1,0.2239,3,67,70
2457,13/04/2011,2,0,4,8,0,3,1,3,0.38,0.3939,0.94,0.194,6,158,164
2458,13/04/2011,2,0,4,9,0,3,1,2,0.38,0.3939,0.94,0.2239,2,63,65
2459,13/04/2011,2,0,4,10,0,3,1,2,0.4,0.4091,0.87,0.194,4,42,46
2460,13/04/2011,2,0,4,11,0,3,1,2,0.42,0.4242,0.82,0.194,4,57,61
2461,13/04/2011,2,0,4,12,0,3,1,3,0.42,0.4242,0.82,0.2537,12,83,95
2462,13/04/2011,2,0,4,13,0,3,1,2,0.44,0.4394,0.77,0.194,6,55,61
2463,13/04/2011,2,0,4,14,0,3,1,2,0.42,0.4242,0.77,0.2537,24,82,106
2464,13/04/2011,2,0,4,15,0,3,1,2,0.44,0.4394,0.72,0.2836,12,69,81
2465,13/04/2011,2,0,4,16,0,3,1,1,0.46,0.4545,0.67,0.2836,23,119,142
2466,13/04/2011,2,0,4,17,0,3,1,1,0.46,0.4545,0.67,0.2985,25,284,309
2467,13/04/2011,2,0,4,18,0,3,1,1,0.44,0.4394,0.62,0.3881,28,293,321
2468,13/04/2011,2,0,4,19,0,3,1,1,0.44,0.4394,0.62,0.2537,15,160,175
2469,13/04/2011,2,0,4,20,0,3,1,1,0.44,0.4394,0.62,0.2537,7,119,126
2470,13/04/2011,2,0,4,21,0,3,1,1,0.42,0.4242,0.67,0.1642,17,100,117
2471,13/04/2011,2,0,4,22,0,3,1,1,0.42,0.4242,0.67,0.194,10,89,99
2472,13/04/2011,2,0,4,23,0,3,1,1,0.4,0.4091,0.71,0.1343,5,57,62
2473,14/04/2011,2,0,4,0,0,4,1,1,0.38,0.3939,0.76,0.1343,3,18,21
2474,14/04/2011,2,0,4,1,0,4,1,1,0.38,0.3939,0.76,0.2239,1,9,10
2475,14/04/2011,2,0,4,2,0,4,1,1,0.36,0.3485,0.76,0.1343,0,3,3
2476,14/04/2011,2,0,4,3,0,4,1,1,0.34,0.3333,0.81,0.1343,0,2,2
2477,14/04/2011,2,0,4,4,0,4,1,1,0.34,0.3636,0.76,0,1,8,9
2478,14/04/2011,2,0,4,5,0,4,1,1,0.34,0.3485,0.76,0.0896,2,12,14
2479,14/04/2011,2,0,4,6,0,4,1,1,0.34,0.3485,0.76,0.1045,4,66,70
2480,14/04/2011,2,0,4,7,0,4,1,1,0.38,0.3939,0.66,0,11,182,193
2481,14/04/2011,2,0,4,8,0,4,1,1,0.42,0.4242,0.58,0.1642,21,316,337
2482,14/04/2011,2,0,4,9,0,4,1,1,0.46,0.4545,0.51,0.1343,18,152,170
2483,14/04/2011,2,0,4,10,0,4,1,1,0.5,0.4848,0.51,0.194,21,68,89
2484,14/04/2011,2,0,4,11,0,4,1,1,0.52,0.5,0.45,0.1642,28,87,115
2485,14/04/2011,2,0,4,12,0,4,1,1,0.54,0.5152,0.42,0.1343,35,110,145
2486,14/04/2011,2,0,4,13,0,4,1,1,0.56,0.5303,0.37,0.2239,38,121,159
2487,14/04/2011,2,0,4,14,0,4,1,1,0.56,0.5303,0.35,0.0896,36,101,137
2488,14/04/2011,2,0,4,15,0,4,1,1,0.6,0.6212,0.31,0.0896,57,85,142
2489,14/04/2011,2,0,4,16,0,4,1,1,0.6,0.6061,0.26,0.1045,49,153,202
2490,14/04/2011,2,0,4,17,0,4,1,1,0.6,0.6061,0.28,0,50,338,388
2491,14/04/2011,2,0,4,18,0,4,1,1,0.56,0.5303,0.3,0,47,290,337
2492,14/04/2011,2,0,4,19,0,4,1,1,0.54,0.5152,0.32,0,37,222,259
2493,14/04/2011,2,0,4,20,0,4,1,1,0.5,0.4848,0.51,0.194,22,147,169
2494,14/04/2011,2,0,4,21,0,4,1,1,0.46,0.4545,0.63,0.1343,19,126,145
2495,14/04/2011,2,0,4,22,0,4,1,1,0.48,0.4697,0.55,0.1045,22,82,104
2496,14/04/2011,2,0,4,23,0,4,1,1,0.46,0.4545,0.59,0.1045,7,40,47
2497,15/04/2011,2,0,4,0,1,5,0,1,0.44,0.4394,0.67,0,6,21,27
2498,15/04/2011,2,0,4,1,1,5,0,1,0.44,0.4394,0.62,0,6,9,15
2499,15/04/2011,2,0,4,2,1,5,0,1,0.4,0.4091,0.76,0,8,10,18
2500,15/04/2011,2,0,4,3,1,5,0,1,0.4,0.4091,0.76,0,0,3,3
2501,15/04/2011,2,0,4,4,1,5,0,1,0.38,0.3939,0.82,0.0896,0,3,3
2502,15/04/2011,2,0,4,5,1,5,0,1,0.36,0.3636,0.81,0.1045,2,11,13
2503,15/04/2011,2,0,4,6,1,5,0,1,0.36,0.3636,0.81,0.0896,5,42,47
2504,15/04/2011,2,0,4,7,1,5,0,1,0.4,0.4091,0.71,0.1642,10,139,149
2505,15/04/2011,2,0,4,8,1,5,0,1,0.44,0.4394,0.62,0.2985,21,279,300
2506,15/04/2011,2,0,4,9,1,5,0,1,0.5,0.4848,0.55,0.194,16,162,178
2507,15/04/2011,2,0,4,10,1,5,0,1,0.5,0.4848,0.55,0.194,31,91,122
2508,15/04/2011,2,0,4,11,1,5,0,1,0.52,0.5,0.55,0.194,41,95,136
2509,15/04/2011,2,0,4,12,1,5,0,1,0.52,0.5,0.55,0.2836,45,155,200
2510,15/04/2011,2,0,4,13,1,5,0,1,0.54,0.5152,0.52,0.2537,47,133,180
2511,15/04/2011,2,0,4,14,1,5,0,1,0.54,0.5152,0.52,0.2537,57,106,163
2512,15/04/2011,2,0,4,15,1,5,0,1,0.54,0.5152,0.52,0.4478,50,112,162
2513,15/04/2011,2,0,4,16,1,5,0,1,0.52,0.5,0.55,0.4925,70,173,243
2514,15/04/2011,2,0,4,17,1,5,0,2,0.5,0.4848,0.63,0.3881,64,267,331
2515,15/04/2011,2,0,4,18,1,5,0,2,0.46,0.4545,0.67,0.3881,47,216,263
2516,15/04/2011,2,0,4,19,1,5,0,1,0.42,0.4242,0.77,0.3881,41,168,209
2517,15/04/2011,2,0,4,20,1,5,0,2,0.4,0.4091,0.76,0.3284,26,92,118
2518,15/04/2011,2,0,4,21,1,5,0,2,0.4,0.4091,0.76,0.2985,25,77,102
2519,15/04/2011,2,0,4,22,1,5,0,2,0.38,0.3939,0.82,0.3881,16,64,80
2520,15/04/2011,2,0,4,23,1,5,0,2,0.36,0.3485,0.81,0.194,8,56,64
2521,16/04/2011,2,0,4,0,0,6,0,2,0.36,0.3485,0.81,0.2239,7,36,43
2522,16/04/2011,2,0,4,1,0,6,0,2,0.36,0.3333,0.87,0.2836,5,28,33
2523,16/04/2011,2,0,4,2,0,6,0,2,0.36,0.3485,0.87,0.1343,5,19,24
2524,16/04/2011,2,0,4,3,0,6,0,2,0.36,0.3485,0.87,0.1642,5,9,14
2525,16/04/2011,2,0,4,4,0,6,0,2,0.36,0.3485,0.87,0.2239,1,4,5
2526,16/04/2011,2,0,4,5,0,6,0,2,0.38,0.3939,0.87,0.2836,1,3,4
2527,16/04/2011,2,0,4,6,0,6,0,3,0.4,0.4091,0.82,0.3284,1,9,10
2528,16/04/2011,2,0,4,7,0,6,0,2,0.4,0.4091,0.82,0.4179,3,18,21
2529,16/04/2011,2,0,4,8,0,6,0,3,0.4,0.4091,0.87,0.3582,7,38,45
2530,16/04/2011,2,0,4,9,0,6,0,3,0.4,0.4091,1,0.2985,2,27,29
2531,16/04/2011,2,0,4,10,0,6,0,3,0.42,0.4242,0.94,0.3881,1,21,22
2532,16/04/2011,2,0,4,11,0,6,0,3,0.42,0.4242,0.94,0.4478,4,27,31
2533,16/04/2011,2,0,4,12,0,6,0,2,0.46,0.4545,0.88,0.5821,6,26,32
2534,16/04/2011,2,0,4,13,0,6,0,3,0.46,0.4545,0.94,0.5224,9,49,58
2535,16/04/2011,2,0,4,14,0,6,0,3,0.52,0.5,0.83,0.5821,14,49,63
2536,16/04/2011,2,0,4,15,0,6,0,3,0.52,0.5,0.83,0.5821,16,62,78
2537,16/04/2011,2,0,4,16,0,6,0,3,0.5,0.4848,0.88,0.4627,6,27,33
2538,16/04/2011,2,0,4,17,0,6,0,3,0.5,0.4848,0.88,0.5821,1,14,15
2539,16/04/2011,2,0,4,18,0,6,0,2,0.5,0.4848,0.94,0.3881,6,32,38
2540,16/04/2011,2,0,4,19,0,6,0,2,0.52,0.5,0.94,0.4179,9,62,71
2541,16/04/2011,2,0,4,20,0,6,0,3,0.44,0.4394,0.94,0.2239,4,49,53
2542,16/04/2011,2,0,4,21,0,6,0,2,0.44,0.4394,0.94,0,1,13,14
2543,16/04/2011,2,0,4,22,0,6,0,3,0.42,0.4242,1,0,2,22,24
2544,16/04/2011,2,0,4,23,0,6,0,2,0.44,0.4394,0.77,0.2836,5,30,35
2545,17/04/2011,2,0,4,0,0,0,0,2,0.44,0.4394,0.77,0.2836,4,29,33
2546,17/04/2011,2,0,4,1,0,0,0,1,0.42,0.4242,0.67,0.2239,6,25,31
2547,17/04/2011,2,0,4,2,0,0,0,1,0.4,0.4091,0.62,0.194,4,25,29
2548,17/04/2011,2,0,4,3,0,0,0,1,0.4,0.4091,0.66,0.1343,12,13,25
2549,17/04/2011,2,0,4,4,0,0,0,1,0.36,0.3636,0.76,0.1045,2,5,7
2550,17/04/2011,2,0,4,5,0,0,0,1,0.36,0.3485,0.71,0.1642,2,1,3
2551,17/04/2011,2,0,4,6,0,0,0,1,0.36,0.3182,0.66,0.4478,3,5,8
2552,17/04/2011,2,0,4,7,0,0,0,1,0.36,0.3333,0.5,0.3582,2,14,16
2553,17/04/2011,2,0,4,8,0,0,0,1,0.38,0.3939,0.46,0.3881,7,36,43
2554,17/04/2011,2,0,4,9,0,0,0,1,0.4,0.4091,0.43,0.2836,31,71,102
2555,17/04/2011,2,0,4,10,0,0,0,1,0.42,0.4242,0.44,0.4478,91,120,211
2556,17/04/2011,2,0,4,11,0,0,0,1,0.46,0.4545,0.41,0.4179,119,185,304
2557,17/04/2011,2,0,4,12,0,0,0,1,0.46,0.4545,0.38,0.3881,167,187,354
2558,17/04/2011,2,0,4,13,0,0,0,1,0.5,0.4848,0.34,0.3881,181,162,343
2559,17/04/2011,2,0,4,14,0,0,0,1,0.52,0.5,0.34,0.3881,170,191,361
2560,17/04/2011,2,0,4,15,0,0,0,1,0.54,0.5152,0.32,0.5224,179,209,388
2561,17/04/2011,2,0,4,16,0,0,0,1,0.54,0.5152,0.3,0.3582,161,182,343
